ticker,quarter,report_period,fiscal_period,period,currency,accession_number,filing_url,total_assets,current_assets,cash_and_equivalents,inventory,current_investments,trade_and_non_trade_receivables,non_current_assets,property_plant_and_equipment,goodwill_and_intangible_assets,investments,non_current_investments,outstanding_shares,tax_assets,total_liabilities,current_liabilities,current_debt,trade_and_non_trade_payables,deferred_revenue,deposit_liabilities,non_current_liabilities,non_current_debt,tax_liabilities,shareholders_equity,retained_earnings,accumulated_other_comprehensive_income,total_debt,capex_source,capex_sec_accession_number,capex_sec_filed,capex_sec_frame,capex_sec_filing_url,debt_source,debt_definition,debt_sec_accession_number,debt_sec_filed,debt_sec_filing_url,cash_flow_normalization,fcf_source
MSFT,2023Q1,2023-03-31,2023-Q3,quarterly,USD,0000950170-23-014423,https://www.sec.gov/Archives/edgar/data/789019/000095017023014423/0000950170-23-014423-index.htm,380088000000.0,163889000000.0,26562000000.0,2877000000.0,77865000000.0,37420000000.0,216199000000.0,88132000000.0,77819000000.0,91580000000.0,13715000000.0,7435487575.0,,185405000000.0,85691000000.0,6245000000.0,15305000000.0,36903000000.0,39601000000.0,99714000000.0,41965000000.0,302000000.0,194683000000.0,108234000000.0,-5644000000.0,48210000000.0,,,,,,msft_financialstatement_xlsx:pure_financial_debt,pure_financial_debt: current portion of long-term debt + long-term debt; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/MSFT/FY23Q3-zip/FinancialStatementFY23Q3.xlsx,,
MSFT,2023Q2,2023-06-30,2023-Q4,quarterly,USD,0000950170-23-035122,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,411976000000.0,184257000000.0,34704000000.0,2500000000.0,76558000000.0,48688000000.0,227719000000.0,109987000000.0,77252000000.0,86437000000.0,9879000000.0,7435487575.0,0.0,205753000000.0,104149000000.0,5247000000.0,18095000000.0,50901000000.0,53813000000.0,101604000000.0,41990000000.0,30145000000.0,206223000000.0,118848000000.0,-6343000000.0,47237000000.0,,,,,,msft_financialstatement_xlsx:pure_financial_debt,pure_financial_debt: current portion of long-term debt + long-term debt; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/MSFT/FY23Q4-zip/FinancialStatementFY23Q4.xlsx,,
MSFT,2023Q3,2023-09-30,2024-Q1,quarterly,USD,0000950170-23-054855,https://www.sec.gov/Archives/edgar/data/789019/000095017023054855/0000950170-23-054855-index.htm,445785000000.0,207586000000.0,80452000000.0,3000000000.0,63499000000.0,36953000000.0,238199000000.0,102502000000.0,76685000000.0,79422000000.0,15923000000.0,7432262329.0,,225071000000.0,124792000000.0,3748000000.0,19307000000.0,46429000000.0,49188000000.0,100279000000.0,41946000000.0,470000000.0,220714000000.0,132143000000.0,-6937000000.0,45694000000.0,,,,,,msft_financialstatement_xlsx:pure_financial_debt,pure_financial_debt: current portion of long-term debt + long-term debt; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/MSFT/FY24Q1-zip/FinancialStatementFY24Q1.xlsx,,
MSFT,2023Q4,2023-12-31,2024-Q2,quarterly,USD,0000950170-24-008814,https://www.sec.gov/Archives/edgar/data/789019/000095017024008814/0000950170-24-008814-index.htm,470558000000.0,147393000000.0,17305000000.0,1615000000.0,63712000000.0,42831000000.0,323165000000.0,112308000000.0,148827000000.0,81879000000.0,18167000000.0,7430436229.0,,232290000000.0,121016000000.0,2250000000.0,17695000000.0,43068000000.0,46034000000.0,111274000000.0,44928000000.0,2548000000.0,238268000000.0,145737000000.0,-4949000000.0,47178000000.0,,,,,,msft_financialstatement_xlsx:pure_financial_debt,pure_financial_debt: current portion of long-term debt + long-term debt; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/MSFT/FY24Q2-zip/FinancialStatementFY24Q2.xlsx,,
MSFT,2024Q1,2024-03-31,2024-Q3,quarterly,USD,0000950170-24-048288,https://www.sec.gov/Archives/edgar/data/789019/000095017024048288/0000950170-24-048288-index.htm,484275000000.0,147180000000.0,19634000000.0,1304000000.0,60387000000.0,44029000000.0,337095000000.0,121375000000.0,147991000000.0,79994000000.0,19607000000.0,7432305794.0,,231123000000.0,118525000000.0,2249000000.0,18087000000.0,41888000000.0,44833000000.0,112598000000.0,42658000000.0,2469000000.0,253152000000.0,159394000000.0,-5435000000.0,44907000000.0,,,,,,msft_financialstatement_xlsx:pure_financial_debt,pure_financial_debt: current portion of long-term debt + long-term debt; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/MSFT/FY24Q3-zip/FinancialStatementFY24Q3.xlsx,,
MSFT,2024Q2,2024-06-30,2024-Q4,quarterly,USD,0000950170-24-087843,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,512163000000.0,159734000000.0,18315000000.0,1246000000.0,57228000000.0,56924000000.0,352429000000.0,154552000000.0,146817000000.0,71828000000.0,14600000000.0,7432305794.0,0.0,243686000000.0,125286000000.0,2249000000.0,21996000000.0,57582000000.0,60184000000.0,118400000000.0,42688000000.0,35566000000.0,268477000000.0,173144000000.0,-5590000000.0,44937000000.0,,,,,,msft_financialstatement_xlsx:pure_financial_debt,pure_financial_debt: current portion of long-term debt + long-term debt; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/MSFT/FY24Q4-zip/FinancialStatementFY24Q4.xlsx,,
MSFT,2024Q3,2024-09-30,2025-Q1,quarterly,USD,0000950170-24-118967,https://www.sec.gov/Archives/edgar/data/789019/000095017024118967/0000950170-24-118967-index.htm,523013000000.0,149926000000.0,20840000000.0,1626000000.0,57588000000.0,44148000000.0,373087000000.0,152863000000.0,146125000000.0,78166000000.0,20578000000.0,7434880776.0,,235290000000.0,115200000000.0,2249000000.0,22768000000.0,53026000000.0,55689000000.0,120090000000.0,42868000000.0,2581000000.0,287723000000.0,188929000000.0,-4182000000.0,45117000000.0,,,,,,msft_financialstatement_xlsx:pure_financial_debt,pure_financial_debt: current portion of long-term debt + long-term debt; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/MSFT/FY25Q1-zip/FinancialStatementFY25Q1.xlsx,,
MSFT,2024Q4,2024-12-31,2025-Q2,quarterly,USD,0000950170-25-010491,https://www.sec.gov/Archives/edgar/data/789019/000095017025010491/0000950170-25-010491-index.htm,533898000000.0,147080000000.0,17482000000.0,909000000.0,54073000000.0,48188000000.0,386818000000.0,166902000000.0,144576000000.0,74554000000.0,20481000000.0,7433982235.0,,231203000000.0,108882000000.0,5248000000.0,22608000000.0,45508000000.0,48045000000.0,122321000000.0,39722000000.0,2513000000.0,302695000000.0,203482000000.0,-5616000000.0,44970000000.0,,,,,,msft_financialstatement_xlsx:pure_financial_debt,pure_financial_debt: current portion of long-term debt + long-term debt; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/MSFT/FY25Q2-zip/FinancialStatementFY25Q2.xlsx,,
MSFT,2025Q1,2025-03-31,2025-Q3,quarterly,USD,0000950170-25-061046,https://www.sec.gov/Archives/edgar/data/789019/000095017025061046/0000950170-25-061046-index.htm,562624000000.0,156644000000.0,28828000000.0,848000000.0,50790000000.0,51700000000.0,405980000000.0,183939000000.0,143297000000.0,71725000000.0,20935000000.0,7432543865.0,,240733000000.0,114206000000.0,2999000000.0,26250000000.0,44636000000.0,47476000000.0,126527000000.0,39882000000.0,2522000000.0,321891000000.0,219759000000.0,-4833000000.0,42881000000.0,,,,,,msft_financialstatement_xlsx:pure_financial_debt,pure_financial_debt: current portion of long-term debt + long-term debt; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/MSFT/FY25Q3-zip/FinancialStatementFY25Q3.xlsx,,
MSFT,2025Q2,2025-06-30,2025-Q4,quarterly,USD,0000950170-25-100235,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm,619003000000.0,191131000000.0,30242000000.0,938000000.0,64323000000.0,69905000000.0,427872000000.0,229789000000.0,142113000000.0,79728000000.0,15405000000.0,7432543865.0,0.0,275524000000.0,141218000000.0,2999000000.0,27724000000.0,64555000000.0,67265000000.0,134306000000.0,40152000000.0,36032000000.0,343479000000.0,237731000000.0,-3347000000.0,43151000000.0,,,,,,msft_financialstatement_xlsx:pure_financial_debt,pure_financial_debt: current portion of long-term debt + long-term debt; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/MSFT/FY25q4-zip/FinancialStatementFY25Q4.xlsx,,
MSFT,2025Q3,2025-09-30,2026-Q1,quarterly,USD,0001193125-25-256321,https://www.sec.gov/Archives/edgar/data/789019/000119312525256321/0001193125-25-256321-index.htm,636351000000.0,189066000000.0,28849000000.0,1130000000.0,73163000000.0,52894000000.0,447285000000.0,230861000000.0,140733000000.0,89628000000.0,16465000000.0,7432377655.0,,273275000000.0,134996000000.0,7832000000.0,32580000000.0,58987000000.0,61533000000.0,138279000000.0,35376000000.0,2852000000.0,363076000000.0,254873000000.0,-2761000000.0,43208000000.0,,,,,,msft_financialstatement_xlsx:pure_financial_debt,pure_financial_debt: current portion of long-term debt + long-term debt; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/MSFT/FY26q1-zip/FinancialStatementFY26Q1.xlsx,,
MSFT,2025Q4,2025-12-31,2026-Q2,quarterly,USD,0001193125-26-027207,https://www.sec.gov/Archives/edgar/data/789019/000119312526027207/0001193125-26-027207-index.htm,665302000000.0,180190000000.0,24296000000.0,1059000000.0,65166000000.0,56535000000.0,485112000000.0,261126000000.0,139911000000.0,91668000000.0,26502000000.0,7425629076.0,,274427000000.0,130005000000.0,4837000000.0,37328000000.0,51376000000.0,54044000000.0,144422000000.0,35425000000.0,2876000000.0,390875000000.0,280789000000.0,-2702000000.0,40262000000.0,,,,,,msft_financialstatement_xlsx:pure_financial_debt,pure_financial_debt: current portion of long-term debt + long-term debt; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/MSFT/FY26q2-zip/FinancialStatementFY26Q2.xlsx,,
MSFT,2026Q1,2026-03-31,2026-Q3,quarterly,USD,0001193125-26-191507,https://www.sec.gov/Archives/edgar/data/0000789019/000119312526191507/msft-20260331.htm,694228000000.0,175329000000.0,32105000000.0,1219000000.0,46167000000.0,60041000000.0,518899000000.0,283228000000.0,138986000000.0,84950000000.0,38783000000.0,7428434704.0,,279861000000.0,136661000000.0,8839000000.0,37513000000.0,50924000000.0,53677000000.0,143200000000.0,31423000000.0,2899000000.0,414367000000.0,302526000000.0,-3228000000.0,40262000000.0,,,,,,msft_financialstatement_xlsx:pure_financial_debt,pure_financial_debt: current portion of long-term debt + long-term debt; excludes operating lease liabilities,,,data/hyperscaler/ir_documents/originals/MSFT/FY26q3-zip/FinancialStatementFY26Q3.xlsx,,
