ticker,quarter,report_period,fiscal_period,period,currency,total_assets,current_assets,cash_and_equivalents,inventory,current_investments,trade_and_non_trade_receivables,non_current_assets,property_plant_and_equipment,goodwill_and_intangible_assets,investments,non_current_investments,outstanding_shares,tax_assets,total_liabilities,current_liabilities,current_debt,trade_and_non_trade_payables,deferred_revenue,deposit_liabilities,non_current_liabilities,non_current_debt,tax_liabilities,shareholders_equity,retained_earnings,accumulated_other_comprehensive_income,total_debt,net_income,depreciation_and_amortization,share_based_compensation,net_cash_flow_from_operations,capital_expenditure,business_acquisitions_and_disposals,investment_acquisitions_and_disposals,net_cash_flow_from_investing,issuance_or_repayment_of_debt_securities,issuance_or_purchase_of_equity_shares,dividends_and_other_cash_distributions,net_cash_flow_from_financing,change_in_cash_and_equivalents,effect_of_exchange_rate_changes,ending_cash_balance,free_cash_flow,free_cash_flow_reported,revenue,cost_of_revenue,gross_profit,operating_expense,selling_general_and_administrative_expenses,research_and_development,operating_income,interest_expense,ebit,income_tax_expense,net_income_discontinued_operations,net_income_non_controlling_interests,net_income_common_stock,preferred_dividends_impact,consolidated_income,earnings_per_share,earnings_per_share_diluted,dividends_per_common_share,weighted_average_shares,weighted_average_shares_diluted
ORCL,2023Q2,2023-05-31,2023-Q4,quarterly,USD,134384000000.0,21004000000.0,9765000000.0,0.0,422000000.0,6915000000.0,113380000000.0,17069000000.0,72098000000.0,422000000.0,0.0,2699802000.0,12226000000.0,132828000000.0,23090000000.0,4061000000.0,1204000000.0,8970000000.0,0.0,109738000000.0,86420000000.0,16849000000.0,1556000000.0,-27620000000.0,-1522000000.0,90481000000.0,3319000000.0,1586000000.0,964000000.0,5647000000.0,-1913000000.0,0.0,301000000.0,-1612000000.0,-1374000000.0,120000000.0,-1082000000.0,-2440000000.0,1546000000.0,-49000000.0,9765000000.0,3734000000.0,3734000000.0,13837000000.0,3730000000.0,10106000000.0,5966000000.0,2689000000.0,2226000000.0,4140000000.0,955000000.0,4064000000.0,-210000000.0,0.0,0.0,3319000000.0,0.0,3319000000.0,1.23,1.19,0.4,2707000000.0,2796000000.0
ORCL,2023Q3,2023-08-31,2024-Q1,quarterly,USD,136662000000.0,22166000000.0,11613000000.0,,470000000.0,6519000000.0,114496000000.0,17644000000.0,71280000000.0,470000000.0,,2739821000.0,12243000000.0,133821000000.0,25357000000.0,4499000000.0,1034000000.0,11120000000.0,12266000000.0,108464000000.0,84442000000.0,5281000000.0,2841000000.0,-26428000000.0,-1497000000.0,88941000000.0,2420000000.0,1475000000.0,849000000.0,6974000000.0,-1314000000.0,0.0,-248000000.0,-1562000000.0,-1562000000.0,-902000000.0,-1091000000.0,-3528000000.0,1848000000.0,-36000000.0,11613000000.0,5660000000.0,1106000000.0,12453000000.0,3610000000.0,,5547000000.0,2419000000.0,2216000000.0,3296000000.0,,2375000000.0,-45000000.0,,,2420000000.0,0.0,2420000000.0,0.89,0.86,0.4,2728000000.0,2823000000.0
ORCL,2023Q4,2023-11-30,2024-Q2,quarterly,USD,134324000000.0,19289000000.0,8244000000.0,,446000000.0,6804000000.0,115035000000.0,18009000000.0,70609000000.0,446000000.0,,2748922000.0,12758000000.0,129946000000.0,24407000000.0,6321000000.0,1107000000.0,8878000000.0,10129000000.0,105539000000.0,82468000000.0,5244000000.0,4378000000.0,-25431000000.0,-1427000000.0,88789000000.0,2503000000.0,1553000000.0,1029000000.0,143000000.0,-1080000000.0,-59000000.0,-110000000.0,-1249000000.0,-189000000.0,-1005000000.0,-1099000000.0,-2289000000.0,-3369000000.0,26000000.0,8244000000.0,-937000000.0,109000000.0,12941000000.0,3740000000.0,,5579000000.0,2468000000.0,2226000000.0,3622000000.0,,2720000000.0,217000000.0,,,2503000000.0,0.0,2503000000.0,0.91,0.89,0.4,2746000000.0,2817000000.0
ORCL,2024Q1,2024-02-29,2024-Q3,quarterly,USD,137082000000.0,21063000000.0,9481000000.0,,423000000.0,7297000000.0,116019000000.0,19117000000.0,69851000000.0,423000000.0,,2748514000.0,12688000000.0,130900000000.0,24885000000.0,5510000000.0,1658000000.0,8931000000.0,10196000000.0,106015000000.0,82470000000.0,4483000000.0,6182000000.0,-24533000000.0,-1466000000.0,87980000000.0,2401000000.0,1557000000.0,1049000000.0,5475000000.0,-1674000000.0,0.0,-109000000.0,-1783000000.0,-813000000.0,-554000000.0,-1099000000.0,-2463000000.0,1237000000.0,8000000.0,9481000000.0,3801000000.0,-1667000000.0,13280000000.0,3869000000.0,,5661000000.0,2419000000.0,2248000000.0,3750000000.0,,2865000000.0,464000000.0,,,2401000000.0,0.0,2401000000.0,0.87,0.85,0.4,2748000000.0,2819000000.0
ORCL,2024Q2,2024-05-31,2024-Q4,quarterly,USD,140976000000.0,22554000000.0,10454000000.0,0.0,207000000.0,7874000000.0,118422000000.0,21536000000.0,69120000000.0,207000000.0,0.0,2748514000.0,12273000000.0,131737000000.0,31544000000.0,10605000000.0,2357000000.0,9313000000.0,0.0,100193000000.0,76264000000.0,10817000000.0,9239000000.0,-22628000000.0,-1432000000.0,86869000000.0,3143000000.0,1554000000.0,1047000000.0,6081000000.0,-2798000000.0,-4000000.0,36000000.0,-2766000000.0,-936000000.0,-39000000.0,-1102000000.0,-2274000000.0,973000000.0,-68000000.0,10454000000.0,3283000000.0,3283000000.0,14287000000.0,3923000000.0,10363000000.0,5677000000.0,2516000000.0,2226000000.0,4686000000.0,878000000.0,4660000000.0,639000000.0,0.0,0.0,3143000000.0,0.0,3143000000.0,1.14,1.11,0.4,2753000000.0,2834000000.0
ORCL,2024Q3,2024-08-31,2025-Q1,quarterly,USD,144214000000.0,23072000000.0,10616000000.0,,295000000.0,8021000000.0,121142000000.0,23094000000.0,68519000000.0,295000000.0,,2770968000.0,12219000000.0,132945000000.0,32045000000.0,9201000000.0,2207000000.0,11455000000.0,12884000000.0,100900000000.0,75314000000.0,3442000000.0,11269000000.0,-20939000000.0,-1328000000.0,84515000000.0,2929000000.0,1428000000.0,1007000000.0,7427000000.0,-2303000000.0,0.0,-462000000.0,-2765000000.0,-7630000000.0,-822000000.0,-1103000000.0,-4585000000.0,162000000.0,85000000.0,10616000000.0,5124000000.0,626000000.0,13307000000.0,3906000000.0,,5410000000.0,2394000000.0,2306000000.0,3991000000.0,,3169000000.0,240000000.0,,,2929000000.0,0.0,2929000000.0,1.06,1.03,0.4,2761000000.0,2851000000.0
ORCL,2024Q4,2024-11-30,2025-Q2,quarterly,USD,148483000000.0,23503000000.0,10941000000.0,,370000000.0,8177000000.0,124980000000.0,26432000000.0,67883000000.0,370000000.0,,2796956000.0,11984000000.0,134247000000.0,29052000000.0,8162000000.0,2679000000.0,9430000000.0,10826000000.0,105195000000.0,80462000000.0,2864000000.0,14236000000.0,-19045000000.0,-1519000000.0,88624000000.0,3151000000.0,1499000000.0,1169000000.0,1304000000.0,-3970000000.0,0.0,182000000.0,-3788000000.0,9767000000.0,-69000000.0,-1118000000.0,2938000000.0,325000000.0,-129000000.0,10941000000.0,-2666000000.0,-3122000000.0,14059000000.0,4085000000.0,,5754000000.0,2577000000.0,2471000000.0,4220000000.0,,3390000000.0,239000000.0,,,3151000000.0,0.0,3151000000.0,1.13,1.1,0.4,2790000000.0,2869000000.0
ORCL,2025Q1,2025-02-28,2025-Q3,quarterly,USD,161378000000.0,30116000000.0,17406000000.0,,417000000.0,8051000000.0,131262000000.0,31970000000.0,67302000000.0,417000000.0,,2804234000.0,11799000000.0,144117000000.0,29623000000.0,8167000000.0,2423000000.0,9019000000.0,10368000000.0,114494000000.0,88109000000.0,2208000000.0,17261000000.0,-17368000000.0,-1593000000.0,96276000000.0,2936000000.0,1551000000.0,1198000000.0,5933000000.0,-5862000000.0,0.0,-114000000.0,-5976000000.0,7640000000.0,61000000.0,-1119000000.0,6559000000.0,6465000000.0,-51000000.0,17406000000.0,71000000.0,-9199000000.0,14130000000.0,4195000000.0,,5577000000.0,2509000000.0,2429000000.0,4358000000.0,,3448000000.0,512000000.0,,,2936000000.0,0.0,2936000000.0,1.05,1.02,0.4,2799000000.0,2874000000.0
ORCL,2025Q2,2025-05-31,2025-Q4,quarterly,USD,168361000000.0,24579000000.0,10786000000.0,0.0,417000000.0,8558000000.0,143782000000.0,43522000000.0,66794000000.0,417000000.0,0.0,2804234000.0,11877000000.0,147392000000.0,32643000000.0,7271000000.0,5113000000.0,9387000000.0,0.0,114749000000.0,85297000000.0,10269000000.0,20969000000.0,-15481000000.0,-1175000000.0,92568000000.0,3427000000.0,1696000000.0,1300000000.0,6157000000.0,-9080000000.0,0.0,-102000000.0,-9182000000.0,-4181000000.0,-17000000.0,-1403000000.0,-3814000000.0,-6620000000.0,219000000.0,10786000000.0,-2923000000.0,-2923000000.0,15903000000.0,4740000000.0,11162000000.0,6053000000.0,2773000000.0,2654000000.0,5109000000.0,978000000.0,5130000000.0,724000000.0,0.0,0.0,3427000000.0,0.0,3427000000.0,1.22,1.19,0.5,2805000000.0,2871000000.0
ORCL,2025Q3,2025-08-31,2026-Q1,quarterly,USD,180449000000.0,24634000000.0,10445000000.0,,560000000.0,8843000000.0,155815000000.0,53194000000.0,66378000000.0,560000000.0,,2841714000.0,11734000000.0,155783000000.0,39874000000.0,9079000000.0,8203000000.0,12098000000.0,13362000000.0,115909000000.0,82236000000.0,,24666000000.0,-14054000000.0,-1170000000.0,91315000000.0,2927000000.0,1771000000.0,1124000000.0,8140000000.0,-8502000000.0,0.0,-216000000.0,-8718000000.0,-1052000000.0,1058000000.0,-1413000000.0,210000000.0,-341000000.0,27000000.0,10445000000.0,-362000000.0,-5575000000.0,14926000000.0,4884000000.0,,5824000000.0,2439000000.0,2491000000.0,4277000000.0,48000000.0,3475000000.0,500000000.0,,,2927000000.0,0.0,2927000000.0,1.04,1.01,0.5,2826000000.0,2909000000.0
