ticker,quarter,report_period,fiscal_period,period,currency,total_assets,current_assets,cash_and_equivalents,inventory,current_investments,trade_and_non_trade_receivables,non_current_assets,property_plant_and_equipment,goodwill_and_intangible_assets,investments,non_current_investments,outstanding_shares,tax_assets,total_liabilities,current_liabilities,current_debt,trade_and_non_trade_payables,deferred_revenue,deposit_liabilities,non_current_liabilities,non_current_debt,tax_liabilities,shareholders_equity,retained_earnings,accumulated_other_comprehensive_income,total_debt,net_income,depreciation_and_amortization,share_based_compensation,net_cash_flow_from_operations,capital_expenditure,business_acquisitions_and_disposals,investment_acquisitions_and_disposals,net_cash_flow_from_investing,issuance_or_repayment_of_debt_securities,issuance_or_purchase_of_equity_shares,dividends_and_other_cash_distributions,net_cash_flow_from_financing,change_in_cash_and_equivalents,effect_of_exchange_rate_changes,ending_cash_balance,free_cash_flow,free_cash_flow_reported,revenue,cost_of_revenue,gross_profit,operating_expense,selling_general_and_administrative_expenses,research_and_development,operating_income,interest_expense,ebit,income_tax_expense,net_income_discontinued_operations,net_income_non_controlling_interests,net_income_common_stock,preferred_dividends_impact,consolidated_income,earnings_per_share,earnings_per_share_diluted,dividends_per_common_share,weighted_average_shares,weighted_average_shares_diluted
MSFT,2023Q1,2023-03-31,2023-Q3,quarterly,USD,380088000000.0,163889000000.0,26562000000.0,2877000000.0,77865000000.0,37420000000.0,216199000000.0,88132000000.0,77819000000.0,91580000000.0,13715000000.0,7435487575.0,,185405000000.0,85691000000.0,6245000000.0,15305000000.0,36903000000.0,39601000000.0,99714000000.0,41965000000.0,302000000.0,194683000000.0,108234000000.0,-5644000000.0,48210000000.0,18299000000.0,960000000.0,2465000000.0,24441000000.0,-6607000000.0,-301000000.0,5330000000.0,-3264000000.0,0.0,-4973000000.0,-5059000000.0,-10290000000.0,10916000000.0,29000000.0,26562000000.0,17834000000.0,11692000000.0,52857000000.0,16128000000.0,36729000000.0,14377000000.0,7393000000.0,6984000000.0,22352000000.0,132000000.0,22805000000.0,4374000000.0,,,18299000000.0,0.0,18299000000.0,2.46,2.45,0.68,7441000000.0,7464000000.0
MSFT,2023Q2,2023-06-30,2023-Q4,quarterly,USD,411976000000.0,184257000000.0,34704000000.0,2500000000.0,76558000000.0,48688000000.0,227719000000.0,109987000000.0,77252000000.0,86437000000.0,9879000000.0,7435487575.0,0.0,205753000000.0,104149000000.0,5247000000.0,18095000000.0,50901000000.0,53813000000.0,101604000000.0,41990000000.0,30145000000.0,206223000000.0,118848000000.0,-6343000000.0,47237000000.0,20081000000.0,3874000000.0,2416000000.0,28770000000.0,-8943000000.0,-341000000.0,419000000.0,-9134000000.0,-1000000000.0,-5192000000.0,-5054000000.0,-11413000000.0,8142000000.0,-81000000.0,34704000000.0,19827000000.0,19827000000.0,56189000000.0,16795000000.0,39394000000.0,15140000000.0,8401000000.0,6739000000.0,24254000000.0,482000000.0,25209000000.0,4646000000.0,0.0,0.0,20081000000.0,0.0,20081000000.0,2.7,2.69,0.68,7434000000.0,7467000000.0
MSFT,2023Q3,2023-09-30,2024-Q1,quarterly,USD,445785000000.0,207586000000.0,80452000000.0,3000000000.0,63499000000.0,36953000000.0,238199000000.0,102502000000.0,76685000000.0,79422000000.0,15923000000.0,7432262329.0,,225071000000.0,124792000000.0,3748000000.0,19307000000.0,46429000000.0,49188000000.0,100279000000.0,41946000000.0,470000000.0,220714000000.0,132143000000.0,-6937000000.0,45694000000.0,22291000000.0,1016000000.0,2507000000.0,30583000000.0,-9917000000.0,-1186000000.0,12588000000.0,503000000.0,24265000000.0,-4146000000.0,-5051000000.0,14761000000.0,45748000000.0,-99000000.0,80452000000.0,20666000000.0,12374000000.0,56517000000.0,16302000000.0,40215000000.0,13320000000.0,6661000000.0,6659000000.0,26895000000.0,149000000.0,27433000000.0,4993000000.0,,,22291000000.0,0.0,22291000000.0,3.0,2.99,0.75,7429000000.0,7462000000.0
MSFT,2023Q4,2023-12-31,2024-Q2,quarterly,USD,470558000000.0,147393000000.0,17305000000.0,1615000000.0,63712000000.0,42831000000.0,323165000000.0,112308000000.0,148827000000.0,81879000000.0,18167000000.0,7430436229.0,,232290000000.0,121016000000.0,2250000000.0,17695000000.0,43068000000.0,46034000000.0,111274000000.0,44928000000.0,2548000000.0,238268000000.0,145737000000.0,-4949000000.0,47178000000.0,21870000000.0,1708000000.0,2828000000.0,18853000000.0,-9735000000.0,-65029000000.0,1492000000.0,-71925000000.0,-633000000.0,-3739000000.0,-5574000000.0,-10147000000.0,-63147000000.0,72000000.0,17305000000.0,9118000000.0,12135000000.0,62020000000.0,19623000000.0,42397000000.0,15365000000.0,8223000000.0,7142000000.0,27032000000.0,168000000.0,26694000000.0,4656000000.0,,,21870000000.0,0.0,21870000000.0,2.94,2.93,0.75,7432000000.0,7468000000.0
MSFT,2024Q1,2024-03-31,2024-Q3,quarterly,USD,484275000000.0,147180000000.0,19634000000.0,1304000000.0,60387000000.0,44029000000.0,337095000000.0,121375000000.0,147991000000.0,79994000000.0,19607000000.0,7432305794.0,,231123000000.0,118525000000.0,2249000000.0,18087000000.0,41888000000.0,44833000000.0,112598000000.0,42658000000.0,2469000000.0,253152000000.0,159394000000.0,-5435000000.0,44907000000.0,21939000000.0,1853000000.0,2703000000.0,31917000000.0,-10952000000.0,-1575000000.0,3108000000.0,-10700000000.0,-9047000000.0,-3691000000.0,-5572000000.0,-18808000000.0,2329000000.0,-80000000.0,19634000000.0,20965000000.0,10987000000.0,61858000000.0,18505000000.0,43353000000.0,15772000000.0,8119000000.0,7653000000.0,27581000000.0,190000000.0,26917000000.0,4788000000.0,,,21939000000.0,0.0,21939000000.0,2.95,2.94,0.75,7431000000.0,7472000000.0
MSFT,2024Q2,2024-06-30,2024-Q4,quarterly,USD,512163000000.0,159734000000.0,18315000000.0,1246000000.0,57228000000.0,56924000000.0,352429000000.0,154552000000.0,146817000000.0,71828000000.0,14600000000.0,7432305794.0,0.0,243686000000.0,125286000000.0,2249000000.0,21996000000.0,57582000000.0,60184000000.0,118400000000.0,42688000000.0,35566000000.0,268477000000.0,173144000000.0,-5590000000.0,44937000000.0,22036000000.0,6380000000.0,2696000000.0,37195000000.0,-13873000000.0,-1342000000.0,749000000.0,-14848000000.0,-14010000000.0,-3676000000.0,-5574000000.0,-23563000000.0,-1319000000.0,-103000000.0,18315000000.0,23322000000.0,23322000000.0,64727000000.0,19684000000.0,45043000000.0,17118000000.0,9062000000.0,8056000000.0,27925000000.0,701000000.0,27951000000.0,5214000000.0,0.0,0.0,22036000000.0,0.0,22036000000.0,2.96,2.95,0.75,7433000000.0,7472000000.0
MSFT,2024Q3,2024-09-30,2025-Q1,quarterly,USD,523013000000.0,149926000000.0,20840000000.0,1626000000.0,57588000000.0,44148000000.0,373087000000.0,152863000000.0,146125000000.0,78166000000.0,20578000000.0,7434880776.0,,235290000000.0,115200000000.0,2249000000.0,22768000000.0,53026000000.0,55689000000.0,120090000000.0,42868000000.0,2581000000.0,287723000000.0,188929000000.0,-4182000000.0,45117000000.0,24667000000.0,2096000000.0,2832000000.0,34180000000.0,-14923000000.0,-1849000000.0,2484000000.0,-15201000000.0,-6712000000.0,-3401000000.0,-5574000000.0,-16576000000.0,2525000000.0,122000000.0,20840000000.0,19257000000.0,9744000000.0,65585000000.0,20099000000.0,45486000000.0,14934000000.0,7390000000.0,7544000000.0,30552000000.0,582000000.0,30851000000.0,5602000000.0,,,24667000000.0,0.0,24667000000.0,3.32,3.3,0.83,7433000000.0,7470000000.0
MSFT,2024Q4,2024-12-31,2025-Q2,quarterly,USD,533898000000.0,147080000000.0,17482000000.0,909000000.0,54073000000.0,48188000000.0,386818000000.0,166902000000.0,144576000000.0,74554000000.0,20481000000.0,7433982235.0,,231203000000.0,108882000000.0,5248000000.0,22608000000.0,45508000000.0,48045000000.0,122321000000.0,39722000000.0,2513000000.0,302695000000.0,203482000000.0,-5616000000.0,44970000000.0,24108000000.0,2330000000.0,3089000000.0,22291000000.0,-15804000000.0,-1405000000.0,3113000000.0,-14112000000.0,0.0,-4730000000.0,-6170000000.0,-11243000000.0,-3358000000.0,-294000000.0,17482000000.0,6487000000.0,8304000000.0,69632000000.0,21799000000.0,47833000000.0,16180000000.0,8263000000.0,7917000000.0,31653000000.0,594000000.0,29959000000.0,5257000000.0,,,24108000000.0,0.0,24108000000.0,3.24,3.23,0.83,7435000000.0,7468000000.0
MSFT,2025Q1,2025-03-31,2025-Q3,quarterly,USD,562624000000.0,156644000000.0,28828000000.0,848000000.0,50790000000.0,51700000000.0,405980000000.0,183939000000.0,143297000000.0,71725000000.0,20935000000.0,7432543865.0,,240733000000.0,114206000000.0,2999000000.0,26250000000.0,44636000000.0,47476000000.0,126527000000.0,39882000000.0,2522000000.0,321891000000.0,219759000000.0,-4833000000.0,42881000000.0,25824000000.0,2400000000.0,2980000000.0,37044000000.0,-16745000000.0,-981000000.0,4408000000.0,-12714000000.0,-2250000000.0,-4235000000.0,-6169000000.0,-13036000000.0,11346000000.0,52000000.0,28828000000.0,20299000000.0,9079000000.0,70066000000.0,21919000000.0,48147000000.0,16147000000.0,7949000000.0,8198000000.0,32000000000.0,594000000.0,31971000000.0,5553000000.0,,,25824000000.0,0.0,25824000000.0,3.47,3.46,0.83,7434000000.0,7461000000.0
MSFT,2025Q2,2025-06-30,2025-Q4,quarterly,USD,619003000000.0,191131000000.0,30242000000.0,938000000.0,64323000000.0,69905000000.0,427872000000.0,229789000000.0,142113000000.0,79728000000.0,15405000000.0,7432543865.0,0.0,275524000000.0,141218000000.0,2999000000.0,27724000000.0,64555000000.0,67265000000.0,134306000000.0,40152000000.0,36032000000.0,343479000000.0,237731000000.0,-3347000000.0,43151000000.0,27233000000.0,11203000000.0,3073000000.0,42647000000.0,-17079000000.0,-1743000000.0,-14392000000.0,-30572000000.0,0.0,-3998000000.0,-6169000000.0,-10844000000.0,1414000000.0,183000000.0,30242000000.0,25568000000.0,25568000000.0,76441000000.0,24014000000.0,52427000000.0,18104000000.0,9275000000.0,8829000000.0,34323000000.0,615000000.0,33231000000.0,5383000000.0,0.0,0.0,27233000000.0,0.0,27233000000.0,3.66,3.65,0.83,7432000000.0,7461000000.0
